0,1,2,3,4,5,6,7,8,9
-0.33492073,0.73866355,0.0016951304,0.18676127,-0.45772597,0.077050894,-0.14559928,0.20097081,-0.11321644,-0.13215639
-0.2551582,-0.55399096,-0.48937625,0.046488114,-0.5050303,0.24622735,-0.045347158,0.25850424,-0.021232117,-0.036372826
-0.3249291,0.04773056,-0.26559466,-0.37227032,0.032532327,-0.7201941,-0.15930933,0.119968906,0.043678172,0.3487112
-0.34385806,0.042842373,-0.30988377,0.4037475,0.51784986,-0.098763354,0.46735623,0.23899525,-0.09962215,-0.23978806
-0.28986728,-0.12150992,0.4146904,-0.24339826,0.23256329,0.15802847,-0.25623432,0.5403884,0.41462865,-0.24768965
-0.2731818,0.104317844,-0.0551171,0.21380553,0.13176899,0.3786517,0.032145303,-0.15210894,0.4378832,0.6993472
-0.32034382,0.11534087,-0.031609826,-0.6777118,-0.03593205,0.28686818,0.48431706,-0.28926396,-0.05212549,-0.13872881
-0.29703212,-0.23852317,0.47001207,0.29312873,-0.37135166,-0.37585628,0.33578444,-0.26810858,0.27128813,-0.10316086
-0.3760659,-0.075770095,-0.1466338,0.09809235,0.21680674,0.038324255,-0.5582549,-0.5876454,0.00011488169,-0.34096944
-0.32860306,-0.20438118,0.41895288,0.039579432,0.09250654,0.10780234,-0.08538797,0.072354965,-0.7313863,0.32485265
